text,source
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,3
"I was at work, and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home",3
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,3
"one time when I was in preschool, I had to write on the board. when I got up, my pants fell down in front of the class, that embarassed me",3
Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,3
"I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.",3
"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",3
After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,3
I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,3
"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.",3
"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",3
"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",3
"Yesterday, I was really craving Dairy Queen. So, I got in my car and went to grab some Blizzards. When I got there, they were closed. ",3
"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live",3
I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own. ,3
"I was in a situation where I missed out on making some money, that caused me not to be happy.",3
I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner,3
My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,3
I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.,3
I was disappointed by my manager when he told that I will probably get my promotion next year (not this year),3
I was driving down a road at night and my car died. I sat in a car with not lights for hours.,3
My next door neighbors are always arguing in our shared hallway. Now they have a baby and the scream while she cries. It is so annoying.,3
I was drivng home and this guy cut me off. I had to swerve in order to not hit him.,3
"I was lost in a neighborhood I didn't know, when some guy came up to me and quietly asked if I needed a ride.",3
I lied to the people I work out with. I told them I was out of town but I relaly just did not want to work out.,3
My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix.,3
"I went to the optometrist, and my prescription got strong. She warned me about being at risk for losing my vision.",3
"I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.",3
"I saw a little turtle about to get hit on the road the other day and I was in a hurry and didn't stop and get him. I hope he made it across the road, poor little guy.",3
I went to the grocery store the other day. I shopprf got sn hour then realized I had left my purse home.,3
Our lights went out last week during a storm. Its was only for 15 minutes but I was so scared.,3
I went swimming in the pool and some of my extensions came out in the water. No one saw but me.,3
Some left their garbage outside of the dumpster in my apartment complex. Now at night there are a bunch of raccoons outside.,3
I ordered McDonalds yesterday and since my lazy daughter wouldn't get out of bed I ate her food. I kind of fell bad about it.,3
"One time I met a girl from Tinder and I really thought we were hitting it off. We met up and had a great time, but then she ghosted me right afterward.",3
I had a girl that I was seeing one time and she asked if I wanted to come with her to meet one of her friends. I went along and the way she talked to her was so much more passionate and energetic than with me and it made me wonder what he has that I don't.,3
"I let my cat out for the evening , the first time I left her outside at night and she didn't come back. ",3
"I went on my first date ever only about a month ago. Even though I knew this girl really well beforehand, I was still really worried that it would be awkward and that I might mess it up.",3
Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,3
My sister in law basically lives off of my mother in law and her kids get everything. My mother in law rarely gives our kids anything because we have the money to do it ourselves - and I get a bit miffed at times.,3
We've had some big rain storms where I live this spring and summer. The creek behind my house got almost in the yard twice already. Very scary.,3
"I really got close with a girl that I met from Tinder, to the point where we were ""dating"". Then randomly, after like 4 days, she says that she doesn't want to date anymore and then just stops talking to me.",3
"I recall this time when I was making a pizza and I got an important call from my boss. I had to talk with him for about 15 minutes and when I came back, I realized the pizza had been burnt in the oven. I was very annoyed because I worked hard to make it!",3
"I recall a time when I had to go to my cousin's birthday part, and I overslept! I felt really guilty about that.",3
"When I was driving home from my first job it was snowing. I accidentally hit a curb and spun into the other lane and almost into a ditch, I was very scared",3
"I am trying to sell my house for 89k dollars, I have been in a bad financial situation, my nephew knows it, and now he is trying to buy my house just for 75k, trying to take advance of my situation ",3
"It's been so dry in my area lately , I'm afraid there might be some forest fires. I live near a mountain. ",3
"My friend is such a narcissist sometimes. He seems to think that he is the best looking, strongest guy ever and he constantly tries to brag about it to me and compare himself to me.",3
When I was a child I was chased by a pitbull and I was very afraid. Dogs had always scared me at that age,3
"When I was younger my dad scared me and my brothers when we were trying to sleep, I almost wet the bed. I was very terrified",3
There's been a big white wolf or coyote coming in my yard lately. I am afraid it will kill the neighbors cats. ,3
My friend got a huge scholarship when he barely passed the PSAT. I was quite jealous that I was unable to do the same thing.,3
Today going to the dentist I was going to have my first root canal done ever along with three other teeth worked on. I knew I would be numbed but that came with the price of a needle being used. I was very nervous and worried.,3
As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting.,3
When i was young i was pretty hyper. But when we had a connect four tournament at my school i back seated someones match. I didn't point anything out really but they gave them a lose and it got me really mad i threw a chair in class.,3
"Back in October of last year I had my first drink. At that time I had never drank or tried any drugs or anything, so I was very nervous about trying anything mind altering like that.",3
"My friend just came over yesterday and talked about how he met a super great girl and is going on a date with her sometime soon. Although I'm super happy for him, I can't help but wish I could be in a relationship myself.",3
"I was in morning rush hour traffic, and the driver in front of me was putting on makeup. Her complete lack of attention meant that she did not notice when the car in front of HER moved, and we missed the light.  It is a LONG light that we had to sit through AGAIN. Ugh!",3
"Once, I tried hard to update my CV as per the job description and applied for a good position, however my CV didn't even pass the screening level.",3
I saw that my coworker left food in the fridge and hat not eaten it in 2 days. I ate it myself and I felt bad,3
I once broke a fax machine my parents spent a lot on. I felt bad about it since it wasn't what i meant to do. He ended up throwing the Fax machine around the room.,3
I was terrifified when my dad scared me as a kid. I have to admit he was good at it,3
"I was out hiking, and came very close to stepping on a rattlesnake. There was not an easy way to get around it, so we had to backtrack and cut through some heavy brush.",3
