Context,Unnamed: 1,label
"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by something that I know of.",,0
"It's not entirely true to say I enjoy being sad, but I always find a way to feel that way. I listen to sad music, read tragic stories, and, in a twisted way, like how bad it makes me feel. I focus on negative aspects of my life even if they aren't legitimate or I just make it seem negative.",,0
"I just don't know what I want in life anymore. I'm can't figure out what it is that is keeping me distracted and unfocused. I can't put things into perspective at all. I'm just stuck, and I'm disappointed with my lack of accomplishments.",,0
"I'm not suicidal and wouldn't take my own life, but sometimes, I've wished for an accident to occur and take it. I feel like I just shouldn't be here and wish I wouldn't have been born so I didn't have to go through life. For me, it's a chore, but I don't know if that's normal or a sign of something.",,0
I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly. I can't get over the loss of a loved one and I'm not close to my family.,,0
"I'm a teenager. My dad has been jail for the last five years. It's tough, but my mom really tries to give a normal life to my two sisters, my brother, and I. I feel like I took upon a parent role when I'm the second youngest, and I'm not stable. My mother and sisters say I'm overdramatic. Iam just so hurt, and I keep breaking down.",,0
"I'm in my mid 20s with a husband and children. I love my family, but I feel like I've lost my identity, and I don't know who I am other than a mom and wife. At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know I'd feel like worse without them. I loathe myself at times.",,0
"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.",,0
"When I get around a particular person or when I go home, I'm just sad or irritated. The feeling comes and goes all day every day. I don't know what wrong. I'm not sure if I'm just making up symptoms and problems in my head or if there is something actually wrong.",,0
I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,,0
"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks. Sometimes I feel i'm not worth knowing or i'm never going to do anything right.",,0
She has trouble falling and staying asleep and she's always either extremely hungry or not hungry at all. She also gets angry and feels like crying really easily for no reason.,,0
"I'm a teenager and I I go through periods of moodiness. I have extreme feelings (but I bury them), and then I feel nothing - just empty and emotionless. I have trust issues, low self esteem,ban extreme fear of abandonment, and I constantly reevaluate my relationships. I also don't know who I am as a person. I'm not happy overall, but I'm not suicidal.",,0
"I had a very troubled up bringing and I'm currently dealing with alot right now. I know some people may not think so, but to me its a lot. I feel overwhelmed. I use to be in therapy as a child. Alll throughout elementry, middle, and high school I had counseling 2-3 times a week. I haven't be in counseling lately though.",,0
I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one.,,0
"I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feels like I'm a caged animal.",,0
"People who are parental figures in my life have, in the past, hurt me, and some continue to do so. It makes me feel like I'm not good enough for my husband or the life he provides me. I have had jobs, but I am going through a lot of my past garbage and trying to figure out when it all went wrong. Any time I bring these things up, I am expected to be over the issue. These are people that you can't just cut out, but I have never received apologies for so much of my pain. I don't know what to do any more. I don't know who I am anymore.",,0
"I'm in my early 20s. I've worked since two months after I turned 18. I have aplans.a I could become an electrician, or I could operate heavy machinery. I have goals, but I do nothing to try to meet them because I don't feel I can. I just want a better life for my fiancAe and the kids than I did.",,0
"He said he would try and he never did. It's been nine months, and this is making me worse. Today, he said I have to respect whatever decision he makes. He's constantly changing his mind on if he wants to work it out.",,0
"I'm in my late 50s. I never loved or have been loved. I need deeper help than is offered in my small town, but I cannot leave this town because of agoraphobia. I find myself losing hope more and more. My brain barely works anymore, and my memory so small, I forget in a moment. I serve no purpose. I'm incapable of work or anything of value, and I never have been. Iam a complete waste of time and resources, and yet I keep trying. Iam not suicidal, just tired.",,0
"I have bipolar disorder, paranoid personality disorder, posttraumatic stress disorder, anxiety and obsessive-compulsive disorder. I last self-harmed a week ago. When I am stressed, overwhelmed, hurt, or angry, the urge to self-harm is all I can think of. I am trying to seek help.",,0
"Over the years, I have slowly lost everything: my jobs, my cars, my freedom, and my money. I am a stay-at-home mom who doesn't make any money, doesn't have a car, never goes out, and cleans all day long everyday.",,0
"Two years ago, I was separated from the military into my contract for medical issues. It has emotionally destroyed me. I now basically hate myself. It's embarrassing to be separated from the one place who takes anyone. My family has been in the armed forces, and it has always been my dream. I can't do this alone anymore, and now my family is even worried.",,0
"I stopped for a while, but Iave started doing it again. Itas like an addiction. The more I try to stop, the more I want to do it. Iave tried doing some of the stuff they say to do like draw, but it doesnat work.",,0
