text,source
"This story is incredibly long but Iam going to do my best to cut it down and only include the most important bits. When I was 14 and in a very low place, I met a teacher at my school. She was around 30. I didnat think much of it at first, but eventually I kept talking to her more and more and seeing her around. We grew close quickly and for some reason I just felt connected to her. One day I received a text message from her as she had gotten my number off another student.",1
My Therapist of eight months terminated. {new job}.A  A I cancelled our final appts: because I could not face her. I had lied to her to test her and ultimately push her away.A  She knew I think and I believe she felt betrayed.A  I could tell because our sessions changeda She was in fact pushed away.,1
"Hi, I have a 4 month old baby boy and i have to go back to work when heas 7 months. I understand that will be a key age for forming secure attachment and i wonat be around for some of every day. i can work from home but not all the time. Iam worried about disruption to our relationship and his attachment. We are breastfeeding, cosleeping and i wear him in a carrier often. He is settled and doing well with this arrangement but of course we will have some distance when Iam back at work. Is there anything i can do to make things easier for my baby? Thank you",1
"I found out very recently that my mom has cheated on my dad 4 times in the past. Theyave gone to counseling each time, where she denies her cheating until finally she admits it but blames it on him anot meeting her needs.a I didnat want to hear this in the first place but you canat unring a bell.",1
"I had a dream that seemed so real. Someone shot my boyfriend in the stomach and he threw up. After the man shot my kids father he came to me and stood over me for what seemed like a life time. My heart was racing so fast I mean I could literally see the guys face but I have never seen him before in areal lifea.A  I was sitting across the street from where my boyfriend was shot. I remember for some reason sitting on a blue bench, holding a box, that was filled with snacks. (I never hang around outside on corners) I begged him not to shoot me because I had two babies right up the road. He still shot me in my head it felt so real.. I seen the flash from the gun, I felt the hot bullet; go through left side of my head, (right behind my hair line) and i also felt the the bullet come out of the my right side of my neck/underneath the chin.A  I could also feel the warm sticky blood coming from my head and neck. He shot me again and then i woke up.",1
A  My husbandas daughter is 19 years old and she constantly causing drama. she lies and tells people I mistreat her tell people she hates me etc. me and my husband have been together for 6 years we have two children a 3 year old and 2 year which his daughter never asks for at all. they donat exist to her but the moment she can talk about me she will bring up how she doesnat see them etc,1
"I care little about people other than immediate family and my partner. Iam very possessive of people and get angry (internally) if they show interest in/preference to others. This applies most to afriendsa; (they would call me a friend but I donat consider them that), my family, my partner, my students.",1
"A  I donat take Social Isolation for 3 years as a serious problem. But everyone around me begs to differ.A By aeveryonea I meant my mother, as my father works overseas. But nonetheless, I found myself curiously fascinated by my lack of concern for my health, social and physical. Itas not because I donat care for any of those, but rather the prospect of doing so seem bothersome. Maybe anot caringa and anot botheringa are the same sentences in different context. And maybe it is. I just find the word anot caringa a bit strong, as I do care to some degree, just donat care aenougha which is one way you can put it.",1
"A  Back in May, me and my girlfriend had a break up which ended quite badly. Iave been with her for 3 years and it was quite a surprise when she wanted to end it because we had been having altercations. Anyways, i went round a friends house who lives opposite her house and the night took a turn and we was drinking and getting high. As i was leaving very intoxicated (which is not an excuse) i think my emotions got the best of me and i keyed her car. I instantly regretted this at the time and i couldnat believe what i done. I still regret it to this day! I instantly wrote a letter of apology the next day and payed for any damage. Im not a nasty person, it was a complete moment of madness from me!",1
This issue started shortly after I graduated high school and ita;s been going on for 2 months. When it first started I was questioning time and how it works. I had a few panic attacks in relation to that. Then after that I started questioning what Iam seeing and if itas actually real. That led to me questioning my existence and I feel totally disconnected from the person I used to be.,1
