text,source
i know zynga game a long time adaptation period in this regard and they spend a lot of time and effort the time of the entire team was placed in the unimportant trivial work it makes employees feel unpleasant,4.0
i would never horrify them with the details they can tell when i am stressed and so i finally told them a very vague and bland version our loved one has a problem and needs my help and so i must travel and am feeling stressed,4.0
"Iam a very collected person in public, but when Iam at home alone, itas really easy to annoy me. Most of the time Iam getting really angry at the smallest things and my behavior while in this state really worries me. Even if itas only me accidentally turning off my work without saving it I get so angry sometimes I start to cry.",1.0
"My three year old stepson will burst into tears at random moments. He says he canat help it, and when we ask him whatas wrong he says nothing. When we ask if he is happy or sad or mad or scared, he usually answers that he is happy. He will cry during a meal, playtime, family time, or when watching cartoons. At first we thought it might be attention seeking, but we donat give him attention when he does it. We just send him to his room and tell him to come out when he calms down. This has been ineffective, and I donat know what to do. He turns four next month and has trouble communicating still. This could be due to ear infections and tubes, but the crying isnat. Do you have any suggestions on how to handle this or what could be wrong?",1.0
"I have not learned swimming in childhood, whenever i see water butterflies flies in my stomach. Now its difficult to learn",3.0
i have to plan ahead and know that if my son hurts my feelings by rejecting my affection i am not going to use the medicating effect of vodka or cheeseburgers or camels to dull that pain,4.0
i hate how i feel out of place there all the time i hate how unfriendly everyone is i hate how some classes make me feel like im wasting money for such a shitty education and some of them make me feel so stupid that i want to kill myself,4.0
i was so tired and feeling drained but when i got home to my surprise i had a package and it was from a very sweet and wonderful woman i got to meet while on my trip,4.0
ive had a couple of really good ideas for a book with a good halloween feel to them but the paranoid writer in me doesnt want to share them just yet because i just know youll steal them because theyre that good,4.0
i really don t feel that kind of music and i really can t stand the violent pulling as he swings hard on my hand and twirls me around with all his strength,4.0
My son got brought home by the police last week for spray painting an abandoned building. I was furious with him!,3.0
"I have always been a rather unpleasant person on the inside. It was only a few months ago I decided to embrace it. I feel as though I am superior to everyone else and that I am adifferenta in some way. I have always fantasized about hurting and killing animals and people, but there is a part of me that knows that it isnat the right thing to do. I have become more and more in need of torturing something that I have decided to torture insects. I have lost all interest in making friends and have just become a social outcast (Iam homeschooled so at least I donat have a ton of people around me). At this point I have daydreams about killing family members and pets in my house (Iam either indifferent or happy towards these feelings as much as I know theyare abnormal).",1.0
i think i need to remind myself that sometimes it s ok to admit that you feel unhappy and lonely and stressed even if you don t really have a great excuse for feeling that way,4.0
i was reading a book by gary paulsen an author i feel a bit shamed to say ive never really read before now he couldnt stop saying enough good things about paulsens books chuck full of boyhood adventures,4.0
"me and my mom had a big blow up fight at few years ago. She lost her house and a lot of my family members took advantage of her. She wanted me to stop talking to all of them but I was only 17 and really wanted my family to be nice. So I basically chose them over her for about two years. Me and my mom still kept in contact. She even has lived with me at one point or another. But over the years she has told me she doesnat want to have a relationship with me. But, right after she says it sheall go about her business as if nothing ever happened.",1.0
"This year, one of my best friends has gone through a lot of issue with his other friends. He really feels like he has no one left besides me. All he ever does is work or stay at home. He rarely comes to church anymore. He deleted all of his social media accounts and now he wants to switch to online schooling. Iam really worried that he will fully isolate himself if he does that but I could also see how it would be good for him. I only want whatas best for him and Iam not sure if I should encourage him to stay in public school or do online schooling like he wants.Is this type of isolate healthy?",1.0
im not a fucking virus to be treated like a pest and besides youre not i repeat not white blood cells to be able to make me feel threatened or rather engulfed by your general awesomeness,4.0
i mean beyond a massage but to relax so i feel every cell in my body dance with ease joy lightness looseness this type of relaxation getting there is messy,4.0
"Family went out of town today. Since I start school soon, I couldn't go with them. House is empty, just hear some outside noises of passing cars and some birds. Feels a little like I was abandoned, even though no one had any other choice to do anything other than what they did. Oh well",3.0
"I am 22 years old man. I donat know if my question will intrigue you or make me seem like a crazy person, but I am in a bit of conundrum. Well my situation is that I develop feelings of affection for others very quickly and that is my problem but this time around I donat think it is so.",1.0
i really don t feel repressed or that restricted in jeddah however i have never felt so librated as i did in dubai and it made me realize how restricted my life here is,4.0
i resist this sometimes especially when situations are rough or you feel you are being victimized by something you just want to dwell right there but paul gives us that example right from ephesians,4.0
I'm constantly working and never get a break.  Its been getting to me lately and I'm grumpy all the time.,3.0
i was happy to sit on the side but after some gentle persuasion i jumped in and really enjoyed it it was like a scene out of finding nemo at one point they were all over me and felt like chicken fillets to touch but i didn t feel scared which was the biggest shock and actually enjoyed the experience,4.0
My father in law was diagnosed with pancreatic cancer when our daughter was just 9 months old.  He passed 9 months later so never really got to know her and never met our other daughter.,3.0
i feel so confused and in the middle now im still a student but im so ready to get out there im craving to be successful but now i have to wait months where i dont want to party and just chill i want to prepare and secure my future as well as possible,4.0
i dont want to ruin christmas i dont want to ruin santa and i certainly dont want anyone to feel like im ungrateful for all the time and thought theyve put into making a nice christmas for us all,4.0
"I really like this girl at my job, but I am sort of nervous to ask her out.  I am not very confident when it comes to those types of social situations.",3.0
Last weekend I went car shopping at my local BMW dealership and saw someone leaving in a brand new i8!  I want that car so bad!,3.0
"Back when I was in school, I pooped in my own pants, in front of my friends. I felt mortified and I was red faced!",3.0
"Iam lost in life, I often feel rage, anger and hatred towards others for no reason and I want it to stop. When I was younger I always was that light hearted hopeful little boy that helped anyone he could, now I look in the mirror and all I see is a Monster filled with so much rage that I could spit fire.",1.0
"Hey, there, I donat know whom else to talk too. My parents think that Iam being silly, they just tell me to get it over with. But Iam really afraid of getting old, and itas really getting bad these days.",1.0
" For years i hated my sister so much. there are things she does that i really hate. my family is divorce. My sister and i are with my mother. She had surgery years ago due to stress. I listen to everything my mother says, i fix the house when it comes to plumbing, computers, TV, networking, bathroom tiles, ceilings, etc. i work every hard and i really dont ask for anything and i respect others. My mother tells me not to yell at her or tell her what to do and my mother can not discipline her because she is worried she will have surgery again. I cant do anything because i dont want to stress my mother as well. therefore my sister can do what ever she wants.",1.0
" Iam not sure if I should see a therapist or not. My main problem is that Iam an attention seeker and a compulsive liar. As far back as I can remember Iave lied, as a child it was often about how good I was at a sport or at school but now I lie when I donat even want to, I lie about what I feel or think or even what I had for breakfast, I canat seem to stop and now Iave noticed that Iave become an attention seeker.",1.0
i still love staying home and cuddling with my littles but when money gets tight and we owe more than we make i feel like i am being selfish by staying home,4.0
i honestly feel that calling violent crime our farms are experiencing an organized racially motivated genocide campaign to be a pseudo issue obstructing many of us from understanding and dealing with the real cause of rural homicides,4.0
"she still keeps on wanting herself to send me off and away back to New York to live with either my father or my aunt. As a result of me driving her crazy too much and constantly stressing her out. She even says she has to do it because sheas too old to live like this at all, and itas my biggest fear to be afraid of it. And it has always been a constant threat towards me. I know I donat want it to happen, but she says she wants it to happen in reality. And I know she wants to do it right away in order to give her a break, to save her health and keep herself from dying of a heart attack. If she suffers and dies from it, Iall be ended up living back in New York for the rest of my life, and that means no more living in San Diego. Thatas what she says. And she also says itall be for my own good, if she thinks she wants it to happen somehow.",1.0
I was unsure about letting my son go to a sleepover since we didn't know the family very well.  It was hard to decide what to do.,3.0
i feel like a snob but i ve been a bit skeptical of it from the start because i have no idea who kenny werner is and neither does thomas a musician who gave me the book,4.0
i go in there it s like all the things that i don t have rise up in my face and i feel really hostile to the americans who are there,4.0
"I really though I was going to be accepted in med school, but I wasn't, and now I don't know what I am going to do with my life.",3.0
I went to pick up my car from the mechanic and found a huge scratch on the side!  They are saying they didn't do it!  I am so mad right now!,3.0
I am feeling a little bad I forgot bird food this weekend. The birds and squirrels gather on my fence line when everything is empty :( I just had so much going on,3.0
i was out in my garden and i was trying to clean up the plants a little bit then ended up getting swarmed by mosquitos,3.0
im in ca feeling jealous of whoever is standing in that spot right now except now its probably all brown and dead and cold and windy so it has its downside,4.0
i said to her i feel sorry for the bus driver he will have to live with this for the rest of his life and it upset her terribly because in my youth and stupidity i gave the impression that i was on the bus drivers side and not hers,4.0
"I started self harming when I was 12. I punch myself in the leg as hard as I can. I will often be sore for days after. However, because I was born with cerebral palsy, I am not strong enough to leave bruises on myself. I recently began to scratch myself as another form of self harm. I will do this until I skin the area Iam scratching, however I am not able to make the area bleed. I have gotten mixed reviews about whether this counts as self harm. I often try to convince myself that because the punches wonat bruise, and because the scratches donat bleed, it is not a serious issue. However, some of my closer friends have told me that is still should consider it more serious and that I need to stop before I go any further. What Iam wondering is, are behaviors intended to cause harm to oneself, but which do not cause visible tissue damage or bleeding, considered self harm?",1.0
Someone knocked all my documents off of my desk. They didnt even bother to pick them up. This really grinds my gears.,3.0
i want to go do something but im feeling kinda shy and i feel like its awkward to just go up to one of my new friends and say im bored lets do something,4.0
i had been praying to god about why did not have love in my life why i grew up feeling unloved why when anyone said they loved me i found the declaration meaningless and false and why i grew up in a family where love wasnt shown or even voiced from time to time,4.0
"What is your opinion on the reason behind a reoccurring nightmare such as this? I am in my home and demons come, take me hostage, burn my house down (which turns into this tall cylinder like building where each floor is a circle and you can look over the railing and see all the floors burning. They kill my family and friends in front of me, but I never die. I havenat had this dream in awhile but have a it at least 3 times in the last 10 years. Its always exactly the same and always terrifying and I canat wake myself up from it until the very end. I have many vivid and weird dreams.",1.0
i love so many of them and respect all of them for what they try to do but i don t feel like i would kill to be at this one place or the other and that s a weird indicator because i want to be in that environment,4.0
i care about them their happiness the outcome for them both and it is so hard saying goodbye to them after feeling like they have become a part of me which is why i am ashamed to admit it has taken me so very long to pick up this last book,4.0
"Until 7yrs ago when I was 50, most of my life revolved around my work, full time child emergency child protection social worker, part time private therapist, three volunteer jobs, all night shifts.",1.0
i was at that moment in time it did not stop me from feeling a sorrowful type of yearning that reached in low and grabbed my guts which then gave birth to a twisted kind of pain in my heart,4.0
i feel athletes are no more stubborn than the rest of the population for many people push the body or dont listen to it when it needs to rest or slow down,4.0
"I have voices in my head often ordering me to do things and telling me what to do, or they talk about what Iam doing. I donat feel comfortable speaking to my family, my mom will think Iam just misguided. I am described as cold and blank, and even my close friends have admitted to knowing almost nothing about me. Whenever I am distressed everything is always internal and kept inside me and never out to other people. I have a constant paranoia of getting injured, hurting someone else, being mugged or robbed. I often canat carry on with things and am distracted. I have very violent thoughts and can be very violent. I donat feel comfortable writing this and am hiding it from my parents. I regularly tense up and then almost aspasma. I speak little about myself because I am worried that someone will blackmail me with what I have said. I feel very scared writing this.",1.0
"Not sure whether to seek professional help. Iam a mess, Iam actually finding it difficult to talk to people, because Iam scared of how theyall react. Iam scared of them thinking Iam a freak, or the polar opposite.. that Iam attention seeking or being dramatic.",1.0
"Even though I'm looking forward to being an empty nester, I have brief periods when I wish that all of my children were here at home. Then reality hits and I realize that there is peace in being here by myself.",3.0
I was insanely upset when our CAR got a ticket for being on my OWN lawn..They say it's city property yet I mow it and maintain it..and pay taxes on it..Yet I can't park my car on it?,3.0
" My older brother who is 20 has taken control of my family. I havenat talked to him since I was 7, but he still lives with us. My parents and I must do anything he says, get out of the same room he is in, and not talk to him or he will go insane. He is large and throws tantrums frequently. Heas punched holes in the wall, thrown things around, and has caused significant damage to our home. My parents still give him whatever he wants, even though heall spit in their face if he doesnat like it. Heas hit me and my mom, and has attempted my dad. My dog runs off every time he comes downstairs, which reassures me that he is dangerous, if she can sense it.",1.0
i will not argue their decision but it bothers me how they feel as if by giving me these petty means of communication with lovely people it will make up for losing communication as far as they know with the person i love,4.0
"I lost a job I had for many years. I wasn't sure what I would do, but I felt things would work out",3.0
i feel very humiliated to even ask for any kind of help of any kind but feel that i am left in no position not to because of cash flow this month and the danger of repossession of my car very real,4.0
"My wife is GENERALLY impatient and frustrated when things donat go as she thinks they should. This involves me, our 2 1/2 year old, traffic, computer issues, etc. She is currently pregnant having a difficult time. Often times Iall come home and she is pretty frustrated with the dayas events and with our child. I think a lot of her frustration is self imposed.",1.0
im a homebody by nature and i dont mind spending six days in a row at home i felt like i should be able to have it together enough to do play dates make a friend dinner or not feel exhausted at the thought of grocery shopping,4.0
i feel like such a traitor for writing this there are times when im becoming very impatient with him because hes not giving me what i want when i want it,4.0
"I saw a lady spit all over her hands after coughing..and then sneeze, wipe her nose..then she TOUCHED the door handle...Omg..I about died...and vomitted",3.0
"I think I need to speak to a councilor, as I am a 20 year old woman who has compulsively lied to nearly everyone Iave ever met, throughout my entire life. I went to university and I started to cross lines with my lies, that I once told myself were harmless, they were far from harmless now. I recently got engaged to the man of my dreams and have had to confess everything Iave ever done and Iam too weak and to deal with the heartbreak Iave caused him! I need help, I donat know why I do this and nothing awful has ever happened to me so I donat have some deep dark reason for it all, Iam just broken. I have boundaries on the people I lie to and I donat understand those either, but I know they are there. Uni life is becoming more and more complicated and I have no idea what Iam doing anymore!",1.0
I had to make sure that I had someone to pick up the kids from school. I trusted that my mother would pick them up on time.,3.0
"Q. Are hallucinations in any way a projection of either the unconscious or the subconscious mind? To state an issue that occurred in my own family, when a family member underwent a surgery, her sodium levels dropped. She is one of the rare cases where low sodium levels induces hyperactivity and hallucinations. Although we have been told that the reason for her behavior is rooted in biological causes and changes, I would like to know the impact of such changes on the subconscious mind and whether there is any information unknowingly projected out by the individual through hallucinations. The aforementioned family member, post-surgery, looked at a fan and starting scolding it as if it were a person. Yet when asked what/who she was scolding, she answered saying that she was scolding the fan itself.",1.0
I was pretty scared when I wrecked my truck. I did not know if I was going to make it,3.0
i would immerse myself but it just isnt easy when you feel like crap and it takes all of your energy to walk from one room to the next regaining my strength has been long and boring,4.0
i want to stop feeling so pathetic but its like my whole heads turned into mush and i just feel dumb and pathetic and i want someone to tell me that im not,4.0
i was feeling a little lethargic or maybe just disoriented by the huge yet subtle shift in my energy kind of like a computer program that has just had a significant update and can t quite get it where how i connect with my widgets,4.0
i approached the desk feeling intensely nervous but my desire to finally get a job allowed me to overcome my fear and i introduced myself to the receptionist stating that i was there for an interview with a certain person,4.0
i now take the train to work everyday and am feeling very mad men about it i was considering the fact that i would like to stay in bed today instead of coming to work,4.0
i see and her hair is one spider web mess and her body is rail thin and her dress looks as old and worn and dusty and tattered as i feel she turns looks startled eyes me warily and puts her hands to her mouth,4.0
"i hurt my elbow a month or so ago.  I thought it was on the way back to being better, but then yesterday I tweaked it again.",3.0
ill have a dream about jen that starts off so wonderful and things will be as they were or we are reconnecting and suddenly the dream takes a sharp turn and everything goes horribly wrong and i wake up feeling beaten up all over again,4.0
My dog injured herself on her tongue and had to go in for surgery and my child went to his grandparents house that day so it was weird having the house so quiet. It was almost an eerie feeling. ,3.0
My cat decided to scratch my face as I was trying to give him a bath. Obviously he wasn't too fond of it,3.0
i guess i shouldnt be surprised that i feel unsure about something like your name when i feel pretty doubtful and confused about so many other things right now too haha,4.0
"One time in high school it had just snowed and I was being careful not to slip. Despite that, I slipped and everyone looked at me.",3.0
My family left today after a long visit to my house. I miss them already and wish I lived near them.,3.0
I saw a creepy looking clown peering at me through the window. I almost jumped out of my skin. I ran into my basement and hid in a closet.,3.0
"Should I return to the UK to get treatment? In short, I had the typical bad childhood. My father was an abusive alcoholic who beat my mum and brother and was constantly in and out of prison. Both of my parents tried to kill themselves and as a teenager I would binge drink, take hard drugs, self harm and starve myself.",1.0
The market at work is slow and if it fosen't pick up soon some people with have their hours cut and am just done dealing with this job I will never go any higher then Office Manager,2.0
i feel reluctant to talk about an issue which is so immediate especially as one cannot make too much of a difference about it individually but what i can do is to spread the word,4.0
"I have been married just under a year to my now partner of nearly 4 years. It hasnat been easy, but it hasnat all been terrible. My partner, a year younger than me of 26, has been struggling with addiction for the entire time Iave known him. He is mostly wonderful and highly functioning, except he would get into moods and lose his job or other. Now I am trying to discuss when we will move in together and he isnat ready. Comes up with excuses, although agreed to go to a 29-day detox program in conjunction with what succeeding therapies would be recommended from the facility. Now he has been off anything illicit for over a year, but the alcohol is playing a big issue. He is worried that he isnt strong enough to return.",1.0
"So my parents have 50/50 custody, the past year i was kicked out living my aunt because my parents didnat want to deal with me . Anyways now i want to live with my dad but my mom wants me to live with her. 1. I do not get along with my mom, thereas never a moment where we do not fight and she lives in a tiny one-bedroom apartment and i would have to sleep on the floor. At my dadas , i want to live there but my stepmom is telling my dad i canat ?? I have a room there and everything, she says because she doesnat trust me and she doesnat feel safe around me when sheas literally thrown stuff at my head, called the cops on me and everything. Living with my dad may be sucky but itas a hell of a lot better than sleeping on the floor. What do i do if my dad refuses to let me live with him even though iam still a minor.",1.0
i feel really bitchy or moany or whatever you want to call it because i have had a lot of bad luck recently nothing serious but small things that pissed me off none the less,4.0
I was really disappointed to hear that the woods near my childhood home had been razed to build new homes.,3.0
"Hi there! I am a cutter. I think I like it too much. What I like about it, is every time I cut and the blood rushes from my arms or legs, I start feeling light headed and cold. That drowsy feeling is what I yearn for. The warm blood running down my cold body(stress running out of me).That is what is feels like. After that you realize I are still breathing and I focus on that and then get this rush of energy. I donat know if it is adrenaline or what, but it feels really good.",1.0
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,4.0
i must live for me and for you if we were wholly united you would feel the pain of it as little as i my journey was a fearful one i did not reach here until o clock yesterday morning,4.0
"I grew up with a younger sibling with autism, and I deeply love and care for her. As I grew up, my parents always told me that I had to be successful so I could care for her when they died. I was perfectly okay with this at first, but as I entered grade 7 I started thinking life and my reasons for living.",1.0
"she stayed with me and the family and gave a birth. Thus we got the third child in our family. In principle I have changed since that time: more time with family, treat the third child as my own (even maybe slightly more). The lover told the truth to his family and is now divorced.",1.0
I was behind a guy going 10 miles per hour under the speed limit the other day. But when we got to a light that just turned yellow he floored it leaving me at the red light. ,3.0
"I need help getting some money to fix my house, but nobody in the family gives a damn about me.",2.0
I asked my co-worker to let me know of any change in the project. He did not even bother himself to inform me,3.0
