text,modified_text,cognitive_distortion
"My family was the most salient part of my day, since most days the care of my 2 children occupies the majority of my time. They are 2 years old and 7 months and I love them, but they also require so much attention that my anxiety is higher than ever. I am often overwhelmed by the care the require, but at the same, I am so excited to see them hit developmental and social milestones.","My family is either the most overwhelming or the most rewarding part of my day. Most days revolve around caring for my 2 children, aged 2 years and 7 months. They fill my heart with love, yet their constant demands heighten my anxiety. I juggle between feeling completely overwhelmed by their needs and eagerly anticipating their growth and progress.",All or Nothing Thinking/Polarized Thinking
Yoga keeps me focused. I am able to take some time for me and breath and work my body. This is important because it sets up my mood for the whole day.,"Yoga keeps me focused. I am able to take some time for me and breath and work my body. This is important because it sets up my mood for the whole day; without it, the day might spiral out of control with overwhelming negativity that I won't be able to handle.",Fortune Telling
"Yesterday, my family and I played a bunch of board games. My husband won most of them which is not surprising in the least. We played all sorts of games including Life, Clue, Mouse Trap and more. It was relaxing and such a happy, fun filled moment.","Yesterday, my family and I played a bunch of board games. My husband won most of them which is not surprising in the least. We played all sorts of games including Life, Clue, Mouse Trap and more. It was relaxing and such a happy, fun filled moment. I felt so content seeing how effortlessly he won, it must mean he's just naturally better at these games than the rest of us.",Emotional Reasoning
"Yesterday, I visited my parents and had dinner with them.  I hadn't seen them in a few weeks, so it was wonderful to see them and catch up on things.","Yesterday, I visited my parents and had dinner with them. It's always nice to see them, but sometimes they can be a bit overbearing.",Labeling/Global Labeling
"Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the importance of my own health and well being.","Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the fragility of life and the significance of taking care of my own health and well-being.",Mental Filter
"Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall.","Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall, and I'm sure my colleagues could tell I wasn't in the best mood.",Mind Reading
"Yesterday, I got a lot of things ready for listing, and fielded many questions from potential buyers. I also did some surveys on Mturk. Woke up this morning to find that there are quite a few items that now have bids and will sell today and tomorrow, and also had 2 bonuses from surveys.","Yesterday, I got a lot of things ready for listing, and fielded many questions from potential buyers. I also did some surveys on Mturk. Woke up this morning to find that there are always quite a few items that now have bids and will sell today and tomorrow, and also had 2 bonuses from surveys.",Overgeneralization
"Yesterday, I finished two of the requirements for the semester. I felt relieved because the requirements were hindering me from writing my MA thesis. I also felt proud because I was able to do the tasks with flying colors.","Yesterday, I finished two of the requirements for the semester. I felt relieved because the requirements were hindering me from writing my MA thesis. I also felt proud because I was able to do the tasks with flying colors. It's almost as if the universe aligned to help me get through these obstacles.",Personalization
yesterday work was like the good old days. There was so much to do and I barely had time to think. I like being busy and overwhlemed and work has been terribly boring and slow lately. Yesterday was a good day.,"Yesterday's work was a reminiscent of the good old days, where the busyness and overwhelming tasks made it enjoyable. Lately, work has been disappointingly dull and sluggish. But yesterday, that was how it **should** always be – a good day filled with tasks and no time to think.",Should Statements
Yesterday was the sixth of the month so I read the sixth chapter of Proverbs.  The wisdom gift that God gave to Solomon is passed on to me through this writing.  I felt a great connection over the centuries to God's intervention in this man's life.,"Yesterday was the sixth of the month so I read the sixth chapter of Proverbs. The wisdom gift that God gave to Solomon is passed on to me through this writing. I couldn't help but feel a great connection over the centuries to God's intervention in this man's life, even though some people might not appreciate the depth of it like I do.",Blaming
