text,source
i agree with every one of them just as i agree with my family who feel an emotional and historical link to israel that is impossible to justify to non jewish people,4.0
"My brother started by reading about the chi power and other stuffs related to it. He is 15 years old and in 10th grade of high school. After almost 2 months, he told mom that there is no reason for him to study, this is not what he wants to do and that he will work a part time job to get money to rent his own apartment, and that he will take a career related to the power and soul stuffs that he reads about.",1.0
My son just lied to me about where he was last night. I am shocked as I always told him to be upfront and honest with me no matter what.,3.0
"I am a secretary in a private elementary school. Two years ago the former principal retired. She was a nun who had very deep ties to the community considering she had been principal since the 60s. The new principal is a lay person who came from a completely different diocese (an aoutsidera), however she is a professional whereas the former principal played favorites. Since the change two mothers have become verbally abusive to the current administrator, myself, and others. Furthermore, they do this in front of the children and other parents and they spread malicious gossip and rumors. It is escalating and my boss just shrugs her shoulders and says aoh well.a I have been employed here for 8 years and I have never had problems with these two mothers (or anyone for that matter) before the retirement of the former principal. This issue needs to be resolved. ",1.0
Im a young adult now 17 years old will be 18 next year which is why iv decided to seek help! Now basically here is a quick background of how this happened!,1.0
i was feeling so rotten i was thinking to myself what can i do to make me feel better and i thought that i needed to get back on the dreadmill as i call it and try to eat better and start taking vitamins,4.0
My doctor recently talked me through a very complicated and scary procedure. I really had faith in the doctor after he explained everything.,3.0
"As a kid I had a lot of problems, constant bullying at school and anger management meant I felt alone a lot of the time. But thereas something that really sticks, a womanas voice inside my head. Itad begin really quietly almost whispering to me then slowly getting louder, just giving me random commands that made no sense, like go downstairs. This was coupled with this obsession with being several millennia old and some kind of demigod. I know normally anyone would brush this off as just some kind of over-active imagination, but the latter half continued until I was about 15.",1.0
i swear i could feel her so cold from how she replies my ims and i end up frustrated for a few days and i would ask her if i said something wrong and every single time she would say are you nuts,4.0
I loaned some money to my friend at work. Turns out he quit a couple days ago and I won't be getting my money back as I have no way of contacting him..,3.0
My neighbor came over to hang out one night and we were all having some drinks and talking. He mentioned that one of his brother's was actually a half sibling and I immediately said something about them looking so different. He took it as me saying he wasn't very attractive and now jokingly makes fun of me about it. I turned so red!,3.0
i hate being in my room given what has happened over the last few months i feel that it will prevent any bad things from happening it is a small price to pay i guess,4.0
"Iam not sure how to deal with my boyfriends anger outbursts. Iam 24 and heas 25 and Iave been with him for 5 months. Over this time, I have learnt a lot about him including his many hurts and issues within his family since childhood, his violent upbringing and his criminal past and violent tendencies, to name a few. His last relationship (where he had a daughter who is now 6 years old) was not a good one, with both of them having domestic violence orders over each other. My boyfriend has since dealt with his anger issues by seeking counseling and anger management and feels now he knows how to handle things better.",1.0
Iave felt empty and isolated for a long time. I feel as though I havenat been truly happy in many years and will be stuck this way forever. I havenat enjoyed my teen years like Iam supposed to.,1.0
"I have been having this aproblema for a while. Initially I didnA t think it was bad, I just thought it was part of my personality. However, I have seen, for a few years, that it is an obstacle. I donA t seem to understand feelings. I know, in theory, what they are, but when i have to interpret them or understand why they are happening, I get confused and frustrated. I have emotions and feelings, that much I know. I usually see the world in a more logical manner, as much as possible, but i canat run from feelings and when an emotional situation occurs (with me or others) i try to put it together but itas too complex for me, which I think itas odd because other people around me comprehend them so easily. For example, I know how anger, happiness, etc, looks like, but in a real-life situation, I canat understand them or why people express them with such ease. Maybe itas a skill that I should have learned when I was a kid? Should I tell someone? (from Portugal)",1.0
i remember feeling infatuation aching so bad for your complete attention i remember but that s not all i don t have to remember no i don t have to remember do you,4.0
"A really bad summer storm that wasn't predicted came through, with large wind gusts and heavy rains and hail around the size of a 50cents piece. I wasn't expecting it to storm, so I was caught really offguard. ",3.0
i am not exactly sure why but i have had a few moments of feeling overwhelmed not so much because of benjamin but because of trying to juggle time between all three kiddos,4.0
i feel like crap and harbor some very hateful thoughts about this person thoughts which a few years ago would have freaked me out but have increased in frequency and replaced my old thoughts about this person,4.0
